date,open,high,low,close,volume,foreign_ownership_ratio
2016-07-01,512000,519000,509000,516000,49917,18.21
2016-07-04,520000,541000,518000,531000,124181,18.57
2016-07-05,531000,534000,524000,533000,42580,18.62
2016-07-06,533000,533000,519000,526000,57676,18.58
2016-07-07,530000,539000,524000,537000,47276,18.69
2016-07-08,535000,542000,530000,534000,30064,18.79
2016-07-11,545000,549000,540000,547000,37160,18.9
2016-07-12,549000,560000,545000,559000,86659,19.14
2016-07-13,560000,565000,551000,559000,63272,19.32
2016-07-14,559000,560000,544000,551000,58031,19.44
2016-07-15,551000,553000,537000,542000,72738,19.72
2016-07-18,543000,547000,537000,544000,45968,19.91
2016-07-19,543000,546000,528000,533000,70711,20.03
2016-07-20,534000,535000,526000,535000,39055,20.13
2016-07-21,535000,537000,522000,527000,55398,20.3
2016-07-22,527000,530000,516000,518000,65800,20.4
2016-07-25,516000,520000,508000,518000,59449,20.48
2016-07-26,516000,523000,510000,519000,39833,20.55
2016-07-27,514000,517000,511000,512000,24116,20.55
2016-07-28,512000,519000,508000,517000,38850,20.56
2016-07-29,519000,519000,507000,509000,39020,20.6
2016-08-01,513000,530000,508000,526000,64307,20.69
2016-08-02,525000,531000,522000,529000,38257,20.71
2016-08-03,536000,539000,522000,522000,42072,20.71
2016-08-04,525000,526000,514000,521000,19601,20.74
2016-08-05,521000,525000,515000,523000,22775,20.78
2016-08-08,519000,524000,511000,513000,41066,20.83
2016-08-09,511000,519000,511000,518000,32128,20.88
2016-08-10,520000,522000,511000,514000,41582,20.93
2016-08-11,515000,519000,509000,519000,28947,20.99
2016-08-12,519000,521000,510000,511000,36329,21.0
2016-08-16,511000,515000,502000,505000,37884,20.99
2016-08-17,505000,507000,498000,507000,22764,20.97
2016-08-18,501000,503000,497000,497500,37796,20.98
2016-08-19,496000,505000,491000,505000,30789,21.03
2016-08-22,501000,501000,490000,495000,34243,21.02
2016-08-23,499500,510000,489500,510000,36272,21.06
2016-08-24,505000,510000,499000,500000,21173,21.05
2016-08-25,499000,499000,486000,486000,62192,20.95
2016-08-26,486000,492000,486000,490000,20910,20.97
2016-08-29,490000,490500,482000,490500,24696,20.97
2016-08-30,488000,499500,488000,494500,27662,20.97
2016-08-31,497000,497000,478500,478500,44115,20.87
2016-09-01,476500,482500,470500,479500,33945,20.84
2016-09-02,476500,492500,476500,491000,27102,20.86
2016-09-05,496500,508000,495000,499000,39088,20.9
2016-09-06,499000,503000,494500,503000,28608,20.95
2016-09-07,509000,510000,502000,508000,28546,20.96
2016-09-08,506000,507000,490000,490000,66575,20.92
2016-09-09,491000,500000,484000,499500,33949,20.93
2016-09-12,499500,500000,483500,483500,39178,20.89
2016-09-13,486000,487500,480000,480000,37184,20.92
2016-09-19,471000,485500,471000,483500,41474,20.93
2016-09-20,479000,485000,478500,484500,26636,20.93
2016-09-21,480500,481500,477000,479000,25946,20.92
2016-09-22,481000,485000,473000,473000,65895,20.95
2016-09-23,478000,479000,474000,477000,25591,20.99
2016-09-26,478000,481000,477000,480000,24669,21.03
2016-09-27,480000,486000,475500,486000,30742,21.04
2016-09-28,483000,488500,483000,484000,20182,21.04
2016-09-29,485500,491000,481500,488500,39277,21.09
2016-09-30,484000,487000,480500,481000,32823,21.07
2016-10-04,487500,487500,480000,481000,22557,21.06
2016-10-05,474500,475500,462000,466500,97683,20.78
2016-10-06,462000,466000,455500,462500,62789,20.77
2016-10-07,458500,461000,451500,452000,41180,20.81
2016-10-10,454500,462000,454500,458000,26017,20.84
2016-10-11,464000,464000,456500,458500,31763,20.84
2016-10-12,461000,464000,456500,461000,24150,20.82
2016-10-13,459000,459500,453000,455000,25551,20.85
2016-10-14,455000,460000,450500,451500,30506,20.83
2016-10-17,456500,456500,450500,451500,21593,20.85
2016-10-18,452000,469000,452000,467500,36591,20.84
2016-10-19,468000,469000,460500,465000,23407,20.83
2016-10-20,469500,470000,462500,464500,21167,20.82
2016-10-21,464500,467500,457500,464500,25332,20.79
2016-10-24,466500,471000,465500,470500,25101,20.78
2016-10-25,470000,471500,435500,443500,110352,20.83
2016-10-26,438000,453500,434000,444500,64340,20.79
2016-10-27,448500,459500,445500,458500,54123,20.85
2016-10-28,452000,457000,449000,451500,27033,20.85
2016-10-31,445000,455000,444000,455000,30409,20.86
2016-11-01,455500,459000,451500,456000,22915,20.84
2016-11-02,456500,476000,454500,473000,65832,20.78
2016-11-03,475000,480500,472000,477000,46751,20.75
2016-11-04,474000,479500,471500,473500,20449,20.72
2016-11-07,478000,478500,463500,468500,39833,20.68
2016-11-08,464500,480000,464000,477500,26792,20.69
2016-11-09,479500,487000,472500,482000,84000,20.71
2016-11-10,482000,493500,474000,490000,87742,20.61
2016-11-11,492000,506000,485500,490000,87401,20.69
2016-11-14,479500,489500,466000,468500,101756,20.62
2016-11-15,472500,483000,469000,478500,42441,20.63
2016-11-16,480000,482000,469500,470000,33449,20.58
2016-11-17,469000,477500,468000,475000,17838,20.62
2016-11-18,470500,472500,459500,460000,40996,20.56
2016-11-21,457000,466000,455500,461000,18109,20.57
2016-11-22,465500,476500,462500,474500,31718,20.55
2016-11-23,471000,484000,470000,480000,37856,20.53
2016-11-24,477000,486000,476500,478500,28440,20.55
2016-11-25,480000,484000,468500,471000,27743,20.5
2016-11-28,471000,480500,471000,476000,31947,20.52
2016-11-29,482000,485000,477000,485000,39930,20.49
2016-11-30,477000,481500,470500,472000,57328,20.52
2016-12-01,471000,472500,463000,470000,39308,20.52
