date,open,high,low,close,volume,foreign_ownership_ratio
2016-07-01,54500,55200,54100,55100,609842,22.6
2016-07-04,54700,56300,54300,56300,606923,22.61
2016-07-05,56000,56500,55500,55900,457414,22.88
2016-07-06,55800,56600,54700,55100,557909,22.84
2016-07-07,55500,56900,55000,56400,725132,22.89
2016-07-08,56900,57400,56100,56200,642248,22.94
2016-07-11,56100,56600,54900,55100,1028224,22.95
2016-07-12,55300,56700,54800,56400,842443,23.07
2016-07-13,56600,56900,55200,55600,855891,23.05
2016-07-14,55800,56500,55200,55900,625935,23.13
2016-07-15,56000,56300,55500,55600,509023,23.16
2016-07-18,56100,56300,55100,55400,364989,23.15
2016-07-19,55500,55600,54500,55100,455834,23.26
2016-07-20,54900,55400,54200,54300,397794,23.11
2016-07-21,54400,54600,52000,52800,1796452,22.81
2016-07-22,53100,53400,52700,53200,712108,22.78
2016-07-25,53300,54100,53200,53400,489554,22.78
2016-07-26,53200,54500,53100,54400,520865,22.78
2016-07-27,54700,56300,54500,56200,969776,22.91
2016-07-28,56000,56600,54800,55000,796703,22.77
2016-07-29,55100,55500,53400,53500,979250,22.71
2016-08-01,53900,54200,53200,53600,511517,22.64
2016-08-02,53600,53700,52900,52900,389732,22.58
2016-08-03,52700,53400,52700,52700,414150,22.54
2016-08-04,53100,53200,52300,52500,660223,22.46
2016-08-05,52600,53600,52600,53500,726247,22.49
2016-08-08,53700,53900,52500,52700,525468,22.46
2016-08-09,53000,53900,52900,53700,666942,22.55
2016-08-10,53800,53800,52700,53300,821138,22.5
2016-08-11,53100,53100,52500,52500,501118,22.47
2016-08-12,52700,53100,52200,52400,631535,22.39
2016-08-16,53000,53400,52800,52800,500438,22.4
2016-08-17,53200,53500,52800,53400,614904,22.43
2016-08-18,53500,53700,52800,53100,427221,22.41
2016-08-19,53100,53200,52100,52200,931376,22.24
2016-08-22,52300,53300,52300,52400,540501,22.26
2016-08-23,52700,52800,51400,51500,737608,22.2
2016-08-24,51600,51700,51000,51100,653161,22.2
2016-08-25,51400,52300,51400,52100,579633,22.28
2016-08-26,52100,52200,51500,52100,354347,22.29
2016-08-29,52100,52200,51400,51500,353607,22.28
2016-08-30,51600,52400,51600,52200,405074,22.32
2016-08-31,52000,53000,51500,51500,682642,22.38
2016-09-01,52300,52400,51000,51100,732564,22.25
2016-09-02,51500,51800,51300,51500,495103,22.3
2016-09-05,51900,53300,51900,53100,925082,22.43
2016-09-06,53000,54000,52700,53900,855259,22.56
2016-09-07,54200,54500,52800,52900,955324,22.51
2016-09-08,53400,53800,51800,51800,1192036,22.42
2016-09-09,51900,52000,51200,51500,684075,22.32
2016-09-12,51800,52100,51200,51200,875347,22.25
2016-09-13,51400,51600,50000,50000,1060793,22.07
2016-09-19,49950,50500,49800,50000,638793,22.04
2016-09-20,50100,50300,49150,49200,1057822,22.05
2016-09-21,49250,50300,49250,50300,831122,22.2
2016-09-22,50700,50900,49750,49750,699899,22.18
2016-09-23,50200,50400,49900,50100,444660,22.15
2016-09-26,50500,50600,49900,49900,388880,22.16
2016-09-27,49850,50300,49600,50200,412254,22.16
2016-09-28,50100,50200,49000,49000,1095284,21.98
2016-09-29,49250,49550,48700,48800,782458,22.04
2016-09-30,48800,49100,47850,47900,1014013,21.93
2016-10-04,48200,48350,47200,47350,1161282,21.77
2016-10-05,46850,48700,46850,48150,1122116,21.93
2016-10-06,48000,49050,47900,48600,774820,22.04
2016-10-07,49400,49450,47900,48400,810009,22.05
2016-10-10,48700,51200,48600,50900,1730902,22.32
2016-10-11,51600,53500,51300,53500,2898941,22.74
2016-10-12,53700,54200,51500,51600,2135115,22.78
2016-10-13,51900,52000,49900,50200,1263334,22.77
2016-10-14,50400,51300,50200,50300,681536,22.81
2016-10-17,50500,50800,50000,50000,435232,22.82
2016-10-18,50100,50400,49400,49900,570624,22.85
2016-10-19,50200,50700,49850,49900,455099,22.83
2016-10-20,50400,50700,49950,50700,371101,22.82
2016-10-21,51000,51000,50300,50300,396235,22.84
2016-10-24,50800,51500,50700,51300,469435,22.87
2016-10-25,50900,51200,50100,50100,610553,22.83
2016-10-26,50000,50300,49650,50300,467423,22.83
2016-10-27,50300,50400,49050,49150,945087,22.62
2016-10-28,48850,48900,47550,47600,1476994,22.47
2016-10-31,47350,48150,47000,47800,746977,22.41
2016-11-01,47600,47650,46950,47350,606342,22.3
2016-11-02,47150,47900,47100,47400,548417,22.34
2016-11-03,47550,48400,47250,47500,716257,22.3
2016-11-04,47600,47650,47000,47100,418742,22.28
2016-11-07,47600,47750,47150,47350,444815,22.31
2016-11-08,47550,47850,47350,47750,455848,22.31
2016-11-09,48000,48050,45200,45700,1461344,22.17
2016-11-10,46400,47050,46200,46700,896687,22.33
2016-11-11,46500,46650,45600,45750,719669,22.27
2016-11-14,47000,47350,46200,46400,752247,22.25
2016-11-15,46100,47850,46100,47050,725313,22.29
2016-11-16,47200,47750,47000,47000,476989,22.26
2016-11-17,46650,47300,46650,46850,312645,22.21
2016-11-18,46900,47100,46000,46850,514155,22.19
2016-11-21,46700,46850,46050,46050,397425,22.13
2016-11-22,46250,46500,45750,45900,411221,22.11
2016-11-23,45900,46800,45900,46600,611177,22.09
2016-11-24,46550,46800,46000,46000,308749,22.11
2016-11-25,46100,46250,45700,45800,270431,22.08
2016-11-28,45750,45800,45250,45300,526862,22.05
2016-11-29,45200,46150,45200,45350,566553,22.02
2016-11-30,45400,45650,44900,44900,646673,21.88
2016-12-01,44700,46450,44700,46250,667213,22.03
2016-12-02,46300,46450,45900,46350,450435,22.1
2016-12-05,46300,46350,45600,46000,357553,22.08
2016-12-06,46100,47250,46100,47100,644517,22.1
2016-12-07,47250,47500,46800,46950,549707,22.09
2016-12-08,47500,47800,47250,47500,545953,22.05
2016-12-09,47600,48450,47550,47950,743986,22.19
2016-12-12,47900,48600,47850,48150,598286,22.29
2016-12-13,48000,48900,47750,48850,666506,22.39
2016-12-14,49100,49150,48150,48300,609882,22.36
2016-12-15,47850,48200,47400,48150,643676,22.23
2016-12-16,47850,48050,47600,47850,491284,22.24
2016-12-19,47800,48350,47600,47700,390223,22.23
2016-12-20,47900,48200,47800,47800,283044,22.13
2016-12-21,47700,48400,47700,48200,395898,22.24
2016-12-22,48200,49600,48200,49400,864243,22.29
2016-12-23,49350,49750,49200,49650,446610,22.19
2016-12-26,49800,51000,49350,50900,951361,22.25
2016-12-27,50900,51400,50400,50900,731183,22.29
2016-12-28,50800,52200,50700,51500,965048,22.34
2016-12-29,51400,52000,51200,51600,482241,22.37
2017-01-02,51800,52300,51600,51600,431474,22.38
2017-01-03,51800,54400,51800,54300,1715000,22.68
2017-01-04,54200,54500,53100,53800,1262418,22.9
2017-01-05,54000,55700,53400,53600,1428250,23.05
2017-01-06,53800,54000,52400,52600,1382362,23.12
2017-01-09,52300,53600,51200,53600,1555889,23.11
2017-01-10,53100,53200,51800,51800,956045,22.97
2017-01-11,51700,52300,51200,52000,979211,23.01
2017-01-12,52100,53400,52100,53300,795012,23.06
2017-01-13,53100,53500,52500,52900,555164,23.03
2017-01-16,52900,53300,51900,52800,681671,22.99
2017-01-17,52300,53000,52300,52400,451998,22.95
2017-01-18,52800,53900,52500,53700,938989,23.08
2017-01-19,53700,54700,53300,54500,1070070,23.18
2017-01-20,54400,54500,54000,54100,432160,23.14
2017-01-23,54100,54500,53300,53400,345819,23.17
2017-01-24,53300,54200,53300,54100,450680,23.22
2017-01-25,54300,55400,53500,54200,1121403,23.27
2017-01-26,55000,55500,53200,53200,1226161,23.14
2017-01-31,53500,55700,53400,55400,1376669,23.5
2017-02-01,55800,58000,55800,57900,2286272,23.78
2017-02-02,58500,59400,57300,58300,1824780,23.96
2017-02-03,58700,59100,57400,58200,780014,23.97
2017-02-06,58800,59100,57700,58600,852582,24.01
2017-02-07,58900,59300,58200,58800,754879,24.0
2017-02-08,59000,60400,58600,60400,1795800,24.22
2017-02-09,60400,61900,60100,61500,1352533,24.39
2017-02-10,61800,61900,61200,61300,740823,24.51
2017-02-13,61600,62000,59600,60700,1012067,24.57
2017-02-14,61000,61600,60600,61600,720671,24.71
2017-02-15,61700,62900,61700,62200,899514,24.8
2017-02-16,62300,62700,61300,62700,727097,24.97
2017-02-17,62600,62700,61200,61400,795235,25.06
2017-02-20,61100,62100,60700,62000,481297,25.22
2017-02-21,62100,62800,61900,62100,443630,25.2
2017-02-22,62700,63000,62300,62900,703290,25.34
2017-02-23,62900,63300,62200,63100,773393,25.43
2017-02-24,63200,63600,62200,62700,825344,25.52
2017-02-27,63200,63200,58800,59000,2350933,25.54
2017-02-28,58700,60000,58200,59800,1519971,25.65
2017-03-02,60700,62200,60600,61600,1329490,25.83
2017-03-03,61300,62400,60600,62200,1001078,25.98
2017-03-06,61500,62000,59900,60300,959701,26.03
2017-03-07,61600,63300,61500,63300,1734620,26.39
2017-03-08,63400,65400,63300,64900,1777042,26.7
2017-03-09,65500,65800,64100,64800,1196256,26.83
2017-03-10,64200,64800,63800,64100,940025,26.92
2017-03-13,65000,65700,64500,65300,733138,27.05
2017-03-14,66700,67400,66600,67100,1602346,27.29
2017-03-15,67300,67900,66800,67800,891284,27.47
2017-03-16,68400,68500,67000,68100,916464,27.63
2017-03-17,67900,69700,67700,68900,1175426,27.83
2017-03-20,68500,68600,66700,67200,1130043,27.79
2017-03-21,67900,67900,66500,66900,1356321,28.0
2017-03-22,67300,69600,67300,69200,1353787,28.24
2017-03-23,70200,72200,70100,72000,2098932,28.67
2017-03-24,73000,73900,71600,72200,1365959,28.72
2017-03-27,72600,72600,70400,71300,868109,28.74
2017-03-28,72000,72100,69800,70700,932883,28.79
2017-03-29,70400,71000,69200,70100,1062889,28.83
2017-03-30,70100,70200,66500,68100,2225859,28.91
2017-03-31,68300,68700,66900,67900,1201094,28.95
2017-04-03,68400,69900,68300,68700,964628,29.0
2017-04-04,69200,69200,68000,68300,583153,29.03
2017-04-05,68300,69000,66500,67200,1116475,29.11
2017-04-06,66900,70700,66300,70600,1571616,29.1
2017-04-07,71200,72200,69800,70900,1754356,29.32
2017-04-10,70700,70900,67900,67900,1306155,29.22
2017-04-11,68100,69800,68100,69500,1032197,29.36
2017-04-12,70000,70100,68900,69100,555051,29.42
2017-04-13,69300,70300,69200,69500,550004,29.48
2017-04-14,69000,69000,67800,68300,492819,29.5
2017-04-17,68700,70200,68700,69600,558900,29.59
2017-04-18,70000,70300,68900,70000,544965,29.73
2017-04-19,70700,71500,70100,70700,947412,29.88
2017-04-20,71300,71400,70400,71100,718589,30.05
2017-04-21,71100,71300,70400,71000,581937,30.09
2017-04-24,71400,72200,71300,71700,551940,30.16
2017-04-25,72000,72200,71500,72200,545785,30.29
2017-04-26,72800,72900,72300,72700,640000,30.47
2017-04-27,72700,73400,72000,72300,608575,30.51
2017-04-28,72000,72100,68700,69100,2295287,30.03
2017-05-02,69600,71000,69200,70400,1301950,30.33
2017-05-04,71800,72400,71200,71700,799566,30.51
2017-05-08,72900,77000,72900,77000,2624129,31.11
2017-05-10,77100,78800,75900,76300,1904728,31.15
2017-05-11,77000,79800,76900,79800,1876649,31.37
2017-05-12,80200,81300,79300,81200,1589519,31.55
2017-05-15,81800,81800,79200,81000,1261164,31.4
2017-05-16,81400,82000,78600,79000,1357416,31.28
2017-05-17,79500,80900,79400,80000,857014,31.33
2017-05-18,78800,79700,78500,79100,716864,31.42
2017-05-19,79600,81400,79400,81400,1094715,31.57
2017-05-22,82200,82300,81100,81600,585488,31.44
2017-05-23,82200,82200,81000,81100,573284,31.45
2017-05-24,81200,82400,80900,82300,538991,31.56
2017-05-25,82800,82800,81700,82300,513491,31.54
2017-05-26,82300,82400,81300,81900,665382,31.54
2017-05-29,81700,84300,81700,83500,823722,31.66
2017-05-30,83700,84100,82300,83500,525707,31.63
2017-05-31,83500,83600,82100,82500,714803,31.6
2017-06-01,82700,82900,81300,81300,628909,31.63
2017-06-02,82100,86900,82100,86600,1869364,31.99
2017-06-05,87700,88900,86900,87300,998730,31.97
2017-06-07,86700,87100,84900,85300,1346470,31.72
2017-06-08,85800,87800,85000,86800,1330511,31.38
2017-06-09,87500,88800,87300,88300,896973,31.27
2017-06-12,86800,87000,85200,85600,1341050,31.07
2017-06-13,85000,86100,83800,85800,1213895,31.01
2017-06-14,86400,88000,85400,85900,987899,31.0
2017-06-15,85900,87700,85300,87300,877550,31.08
2017-06-16,87200,87500,85800,86100,737508,30.97
2017-06-19,86100,86900,84800,86200,662054,30.98
2017-06-20,87300,87500,85700,86000,628514,31.06
2017-06-21,86000,86300,84100,85900,722785,31.04
2017-06-22,85300,86100,81300,81900,2179462,31.04
2017-06-23,82500,84100,81800,84100,1151493,31.27
2017-06-26,84600,85500,83600,85100,734655,31.25
2017-06-27,84300,84800,82200,82300,1431967,31.22
2017-06-28,81900,82000,78500,79300,1989102,31.21
2017-06-29,80300,81200,79500,79700,1018774,31.24
2017-06-30,78500,80700,78100,80200,999093,31.36
2017-07-03,80400,82300,80300,80900,928999,31.36
2017-07-04,80500,80800,79600,79900,566386,31.34
2017-07-05,79900,81300,79400,79900,648725,31.32
2017-07-06,80500,80600,76600,77100,1965678,31.22
2017-07-07,76400,76400,73800,73900,2330893,31.23
2017-07-10,72700,72800,70700,70800,3056226,31.06
2017-07-11,71300,72000,70000,71500,1546488,30.97
2017-07-12,72000,73000,70800,70800,1208011,30.81
2017-07-13,71300,72500,71000,71200,1363044,30.9
2017-07-14,71900,72200,69000,69500,1764528,30.85
2017-07-17,69900,70400,69700,70100,741053,30.86
2017-07-18,70300,70700,69600,70000,660135,30.81
2017-07-19,70200,71400,70200,70500,1017542,30.35
2017-07-20,70900,71200,69200,69400,956192,30.4
2017-07-21,69800,70100,68200,68200,1015026,30.45
2017-07-24,68200,68400,66700,67500,1417600,30.4
2017-07-25,67500,68200,67300,67500,838858,30.32
2017-07-26,67900,68700,67300,67900,1066820,30.21
2017-07-27,68200,68300,66300,66500,1371488,29.96
2017-07-28,66800,67800,66300,66700,1282188,30.08
2017-07-31,67000,67600,66500,67100,659263,30.07
2017-08-01,68000,69600,67800,68300,1485811,30.03
2017-08-02,69200,69500,67300,68400,838130,29.92
2017-08-03,68900,69200,68100,68400,838838,29.86
2017-08-04,69000,72100,68800,71800,1976833,29.97
2017-08-07,72300,72700,71500,71600,947809,29.93
2017-08-08,72100,72200,70300,71600,713434,29.9
2017-08-09,70700,71500,70500,71400,690037,29.88
2017-08-10,71400,74100,71400,73700,1796419,30.04
2017-08-11,72600,74700,71600,73400,1581856,30.07
2017-08-14,74200,74700,73000,73700,798565,30.07
2017-08-16,74000,74500,73100,74000,769023,30.06
2017-08-17,74000,74200,73000,73600,662603,30.1
2017-08-18,72600,73300,72000,73000,751321,30.09
2017-08-21,72800,75900,72800,75800,1159623,30.26
2017-08-22,76000,76400,75300,75700,697166,30.23
2017-08-23,76200,78500,76100,77500,1309345,30.3
2017-08-24,77800,78000,76600,77400,811372,30.22
2017-08-25,77800,77900,76800,77700,442385,30.16
2017-08-28,77500,77600,75900,76300,553675,30.09
2017-08-29,75500,75500,73400,74400,1540731,29.9
2017-08-30,75500,82400,75200,82300,3932544,30.18
2017-08-31,82700,82800,80200,81500,1889427,30.02
2017-09-01,82900,84300,81000,83600,1944745,29.87
2017-09-04,81700,84100,81600,82700,1508080,29.84
2017-09-05,83300,87000,83300,86500,2612281,30.09
2017-09-06,87000,87400,85300,85300,1564911,30.0
2017-09-07,85900,87100,85000,85300,1268664,30.1
2017-09-08,85700,85800,82200,82500,1944947,30.14
2017-09-11,83300,83600,81500,83100,1501501,29.95
2017-09-12,83800,83900,82400,83000,937921,29.9
2017-09-13,83800,88500,83700,87400,2808612,30.24
2017-09-14,87700,88300,86600,87900,1709823,30.13
2017-09-15,87400,91500,87300,89500,2655625,30.18
2017-09-18,90800,92300,89800,91000,1506118,30.2
2017-09-19,91000,91000,88400,89000,1473897,30.05
2017-09-20,89300,89300,86500,86600,1666502,30.14
2017-09-21,86600,88400,84700,86400,1397736,30.11
2017-09-22,86500,88800,85500,87400,1254640,30.15
2017-09-25,86800,88000,83800,84300,1536892,30.13
2017-09-26,83500,83700,80700,81800,1607876,30.0
2017-09-27,82000,83400,81000,81200,973194,30.01
2017-09-28,81300,81400,78900,80100,1379732,30.01
2017-09-29,80400,82500,80200,82400,909359,30.21
2017-10-10,79700,81500,78900,80800,2417240,30.15
2017-10-11,82100,88000,81800,87400,3091409,30.23
2017-10-12,87600,91700,87500,87900,2679580,30.5
2017-10-13,89300,90500,88000,88500,1148910,30.62
2017-10-16,89400,91700,88800,89300,1370439,30.53
2017-10-17,88800,90900,87700,89800,1201400,30.59
2017-10-18,90500,91700,89700,90400,1235889,30.61
2017-10-19,91500,97500,90600,96500,4384919,31.13
2017-10-20,96500,96800,94300,95300,1516859,31.26
2017-10-23,95600,98500,94800,97200,1696409,31.29
2017-10-24,96900,98200,93400,93400,1526327,31.3
2017-10-25,94600,95900,92900,93900,1127777,31.4
2017-10-26,94200,94900,92500,92700,1028083,31.45
2017-10-27,93500,95500,92100,92800,1312328,31.54
2017-10-30,93500,95700,92600,94800,1146628,31.66
2017-10-31,95300,96100,90800,91000,2091668,31.62
2017-11-01,91100,93400,90600,92300,1413470,31.85
2017-11-02,92500,94200,90500,91600,1238258,31.91
2017-11-03,91800,93000,91000,92000,865372,31.96
