date,open,high,low,close,volume,foreign_ownership_ratio
2016-07-01,60300,60300,59200,59400,597365,32.98
2016-07-04,59300,59300,58500,59000,887623,32.96
2016-07-05,59300,59400,58500,59100,506256,32.97
2016-07-06,59800,60300,58500,59100,903024,32.98
2016-07-07,59100,59300,58500,59000,437023,32.99
2016-07-08,59300,59900,58500,59600,810347,32.98
2016-07-11,60300,60400,59900,60300,475605,32.99
2016-07-12,60300,60400,59400,59600,653905,32.97
2016-07-13,59600,59800,58800,59600,986724,32.97
2016-07-14,59200,59800,59100,59600,904998,32.95
2016-07-15,59600,60400,59100,60300,981804,33.0
2016-07-18,60400,60700,59800,60400,582572,32.99
2016-07-19,61100,61100,60200,60500,687589,33.0
2016-07-20,60500,60900,60100,60400,451406,33.0
2016-07-21,60800,61500,60200,61200,748728,33.0
2016-07-22,61000,61700,60800,61000,420386,32.99
2016-07-25,61700,61900,61100,61500,706401,32.99
2016-07-26,62000,62600,61700,62300,836725,33.0
2016-07-27,61900,62600,61500,61800,615464,33.01
2016-07-28,61800,62100,61000,61600,746384,33.0
2016-07-29,61700,62000,60900,61300,713444,33.0
2016-08-01,61200,62300,61000,61200,667597,33.01
2016-08-02,61100,63400,61100,62800,1150710,33.04
2016-08-03,62600,63600,62100,62900,1080692,33.03
2016-08-04,63100,63100,60900,61300,1337098,33.02
2016-08-05,61400,61500,60500,61100,1128031,32.97
2016-08-08,61300,61500,60500,61200,908141,32.96
2016-08-09,61000,61600,60500,61200,785007,32.98
2016-08-10,61500,63000,61200,62600,1116342,33.07
2016-08-11,61900,62100,60600,60600,1224212,33.08
2016-08-12,60600,60700,58400,59200,3273838,33.01
2016-08-16,59800,60400,58700,58900,1823306,33.01
2016-08-17,59300,59400,57800,58400,1144353,32.99
2016-08-18,59000,59800,58000,58200,1180277,33.01
2016-08-19,58900,59000,57100,57400,1415463,33.05
2016-08-22,57800,57900,57000,57400,707052,33.06
2016-08-23,57500,57800,57000,57600,896382,33.06
2016-08-24,57700,58300,57200,57200,738728,33.04
2016-08-25,57500,58800,57400,58700,1210770,33.03
2016-08-26,59000,59300,58600,59100,654367,33.03
2016-08-29,58500,58500,57600,58100,625231,33.02
2016-08-30,57900,58600,57300,57600,866208,33.0
2016-08-31,57800,58300,57500,58000,961630,33.02
2016-09-01,58300,58500,57200,57500,868641,33.02
2016-09-02,57200,57300,56700,57100,828288,33.01
2016-09-05,57500,57600,56900,57200,703570,32.99
2016-09-06,57100,57600,57000,57400,637061,32.99
2016-09-07,57200,58600,57200,58500,913696,33.0
2016-09-08,58700,59100,58500,58700,950374,33.02
2016-09-09,58800,59800,58500,59700,1239174,33.08
2016-09-12,59500,59800,58200,58900,1032806,33.07
2016-09-13,58600,58800,57400,57900,1192693,33.07
2016-09-19,57500,58200,57500,57800,702196,33.1
2016-09-20,57500,58600,57400,58600,830077,33.18
2016-09-21,58800,59500,57900,59500,954676,33.25
2016-09-22,60100,60300,59100,59100,999643,33.32
2016-09-23,60200,60200,59300,60000,771088,33.37
2016-09-26,60400,60500,58100,58500,956000,33.39
2016-09-27,58700,59100,58200,58600,814455,33.4
2016-09-28,58500,58900,57300,57400,1208741,33.39
2016-09-29,57500,57600,55200,55600,2374939,33.36
2016-09-30,55500,55600,54000,54000,1861086,33.32
2016-10-04,53600,54500,53000,54500,1303845,33.3
2016-10-05,53600,54500,53000,53800,1203906,33.27
2016-10-06,53200,54500,52100,52500,2375169,33.21
2016-10-07,52100,52700,51600,51600,1815227,33.12
2016-10-10,51600,52500,50300,50500,2557575,32.92
2016-10-11,50300,51200,50000,51000,2186336,32.81
2016-10-12,51100,52000,50500,50500,2074670,32.75
2016-10-13,51300,51700,50300,50600,2336698,32.76
2016-10-14,51000,51900,50800,51600,1951750,32.76
2016-10-17,51800,53200,51600,52900,1667986,32.77
2016-10-18,53200,53300,52200,52700,991965,32.77
2016-10-19,52700,52700,51500,52000,1003549,32.78
2016-10-20,51900,52300,51300,51800,1099265,32.78
2016-10-21,53000,53100,51700,52700,2603459,32.76
2016-10-24,52200,52300,50700,51100,1593914,32.72
2016-10-25,50700,50900,49550,50100,2138591,32.63
2016-10-26,50600,51100,50000,50800,973917,32.65
2016-10-27,50900,51200,50200,51000,797019,32.65
2016-10-28,50400,50400,49550,49550,1515652,32.57
2016-10-31,49500,49700,48250,49250,1448636,32.58
2016-11-01,49950,50200,48900,49400,1215710,32.55
2016-11-02,48950,49100,48450,48950,1178426,32.53
2016-11-03,48850,49200,48650,48700,866880,32.48
2016-11-04,48650,48650,47300,47350,1882522,32.43
2016-11-07,47350,47650,46000,46000,2135671,32.36
2016-11-08,46350,47100,46100,46250,1653354,32.32
2016-11-09,46600,46700,45400,46000,2486855,32.22
2016-11-10,46500,47100,46150,46200,1871641,32.09
2016-11-11,45000,45950,45000,45800,1953008,32.0
2016-11-14,45700,46300,45600,45750,1195785,31.95
2016-11-15,45250,47900,45250,47850,2433736,31.88
2016-11-16,48200,48400,47250,47300,2411577,31.81
2016-11-17,47150,47450,46650,46800,1584628,31.76
2016-11-18,46650,47050,46200,46450,1461482,31.73
2016-11-21,46850,48000,46750,47350,1951004,31.78
2016-11-22,47450,47700,46550,46650,1317163,31.74
2016-11-23,47000,47400,46900,47200,1141058,31.74
2016-11-24,47100,47650,46800,47200,964536,31.72
2016-11-25,47700,47850,47050,47250,819062,31.68
2016-11-28,47450,47700,47000,47600,1082474,31.68
2016-11-29,47400,47550,47100,47100,1116996,31.63
2016-11-30,47000,47400,46500,46500,1485173,31.6
2016-12-01,46100,46150,44300,44500,2557351,31.55
2016-12-02,43950,44050,43000,43450,2340234,31.48
2016-12-05,43350,43800,43050,43200,1218364,31.48
2016-12-06,43600,44550,43500,44350,1304664,31.45
2016-12-07,44400,44500,43400,43800,963418,31.43
2016-12-08,44400,44450,43600,44300,1664372,31.34
2016-12-09,44500,46200,44500,45900,2928689,31.39
2016-12-12,45550,45600,45150,45250,1651347,31.36
2016-12-13,45150,45650,44550,45650,1589114,31.34
2016-12-14,45800,46900,45650,46400,1746200,31.39
2016-12-15,46450,46450,45650,46300,1023424,31.38
2016-12-16,46100,46400,45650,46100,1140184,31.37
2016-12-19,45800,46150,45500,45700,940223,31.37
2016-12-20,45650,46050,45300,45450,941640,31.36
2016-12-21,45600,45800,45400,45400,1018954,31.37
2016-12-22,45550,45850,45200,45350,856031,31.34
2016-12-23,45250,46000,45250,45950,972805,31.33
