date,open,high,low,close,volume,foreign_ownership_ratio
2016-07-01,49557,50168,48487,48539,429950,13.5
2016-07-04,49046,49912,48894,49862,480737,13.82
2016-07-05,50116,52357,49352,52256,1047519,14.55
2016-07-06,51951,53479,51543,53174,749977,14.88
2016-07-07,53580,54191,52867,53479,391113,15.13
2016-07-08,53376,53988,52969,53683,305699,15.2
2016-07-11,54700,57043,54598,55821,698595,15.45
2016-07-12,55924,55924,54599,55924,410943,15.6
2016-07-13,56025,56126,54599,54803,387586,15.7
2016-07-14,55108,56126,55006,55924,245372,15.73
2016-07-15,55821,55821,54599,54803,257426,15.74
2016-07-18,54599,54599,53479,53887,324275,15.79
2016-07-19,53885,54598,53580,53784,143966,15.84
2016-07-20,53681,55718,53172,55312,281654,15.9
2016-07-21,55311,55820,54802,55414,207474,15.87
2016-07-22,55108,55312,54292,54803,218238,15.8
2016-07-25,54497,55209,54293,54497,115040,15.8
2016-07-26,54191,55617,54089,55007,183899,15.76
2016-07-27,55107,55311,54293,54701,165054,15.65
2016-07-28,55515,55617,54395,54803,268752,15.66
2016-07-29,54905,55414,53682,55109,252745,15.7
2016-08-01,56942,60100,56433,59082,1052567,15.9
2016-08-02,59284,59589,58367,59183,452398,16.0
2016-08-03,58673,60813,58368,60508,420332,16.17
2016-08-04,59997,61526,59284,60304,664499,16.5
2016-08-05,60608,62951,60302,62646,636420,16.96
2016-08-08,63155,64174,61729,63462,493107,17.14
2016-08-09,63563,63563,62442,62749,372834,17.37
2016-08-10,62442,63257,61219,61526,465031,17.65
2016-08-11,61729,62443,60812,62443,310530,17.76
2016-08-12,62339,62339,61321,62137,276762,17.92
2016-08-16,62238,62340,60711,60915,314448,17.97
2016-08-17,60506,61321,59487,61322,281894,18.09
2016-08-18,61221,61526,59997,61221,254008,18.16
2016-08-19,61016,61118,59387,59591,434022,18.18
2016-08-22,59895,61321,59895,60915,303640,18.33
2016-08-23,61322,61322,59590,60304,247275,18.34
2016-08-24,60304,60711,58674,59999,254432,18.41
2016-08-25,60506,60609,59284,59387,151935,18.43
2016-08-26,59080,59284,57043,57757,485046,18.55
2016-08-29,57552,60403,56940,60201,406168,18.79
2016-08-30,60099,62645,59997,62239,519832,19.02
2016-08-31,62341,62850,61729,62749,326115,19.07
2016-09-01,62747,63256,61423,62850,316374,19.13
2016-09-02,63257,64683,62442,63971,387716,19.31
2016-09-05,64377,65498,64377,64888,340560,19.44
2016-09-06,64480,65193,63664,63971,300240,19.56
2016-09-07,63970,64072,61729,62341,422645,19.64
2016-09-08,62646,63155,61628,62036,271530,19.73
2016-09-09,61831,62849,60404,61322,391919,19.84
2016-09-12,60201,61627,59997,60405,189715,19.8
2016-09-13,61831,62544,60710,61526,271494,19.83
2016-09-19,62035,63665,61730,62953,405066,20.06
2016-09-20,63054,63155,61118,62749,318505,20.09
2016-09-21,62339,62848,61626,62646,178437,20.11
2016-09-22,63054,63460,62238,63054,287813,20.14
2016-09-23,64582,66109,64275,64582,522729,20.17
2016-09-26,64785,65193,63664,63971,201908,20.15
2016-09-27,63563,64684,62951,64684,287431,20.34
2016-09-28,64684,64684,63664,64175,160230,20.33
2016-09-29,64377,64682,63664,64276,187702,20.28
2016-09-30,64174,65192,63665,64786,240859,20.4
2016-10-04,65091,66620,63155,66620,448914,20.78
2016-10-05,66721,67127,65702,66925,261055,20.83
2016-10-06,66416,67129,66110,66824,176076,20.92
2016-10-07,66618,66720,65192,66008,285098,21.02
2016-10-10,65600,67332,65600,66620,199860,21.09
2016-10-11,66925,67129,65804,66620,197356,21.21
2016-10-12,66618,67127,66109,66925,260242,21.29
2016-10-13,66721,66823,64989,65092,285996,21.29
2016-10-14,65601,67129,64684,66824,330306,21.51
2016-10-17,67230,67230,65498,66925,342416,21.69
2016-10-18,66415,68555,66109,68555,451684,22.04
2016-10-19,69063,69879,68146,68657,305103,22.08
2016-10-20,68758,69471,68248,68962,199516,22.16
2016-10-21,68554,69165,68146,68453,152881,22.24
2016-10-24,67841,68350,65192,65703,471879,22.36
2016-10-25,66109,67229,64988,65804,435895,22.57
2016-10-26,66212,67128,65192,66212,321769,22.73
2016-10-27,66211,66619,64989,65092,300181,22.81
2016-10-28,65192,66517,64377,65295,226232,22.93
2016-10-31,65192,66008,64582,64990,210761,22.97
2016-11-01,62646,62748,50677,51238,3990085,22.76
2016-11-02,51033,51033,46755,49404,3288521,22.74
2016-11-03,49302,51441,48538,50729,1072652,22.69
2016-11-04,50524,51339,47570,49099,958065,22.63
2016-11-07,49402,50064,48537,48945,544955,22.64
