date,open,high,low,close,volume,foreign_ownership_ratio
2016-07-01,96291,97200,94474,94929,126707,13.63
2016-07-04,94929,97653,94929,96746,151404,13.68
2016-07-05,96745,96745,94474,95384,182521,13.49
2016-07-06,95383,95836,91295,92659,288604,13.6
2016-07-07,93566,94020,91749,92659,165581,13.47
2016-07-08,91295,92203,90841,91295,139697,13.38
2016-07-11,92203,92657,91295,91750,162331,13.5
2016-07-12,92203,95836,91749,94476,307959,13.57
2016-07-13,95836,97653,94929,96746,250662,13.61
2016-07-14,95837,96291,94474,95384,145731,13.67
2016-07-15,96291,99017,95836,98109,295628,13.71
2016-07-18,98562,100833,97653,98563,146787,13.69
2016-07-19,98562,99017,96745,98109,130771,13.71
2016-07-20,98108,99017,95836,96746,124230,13.7
2016-07-21,97200,98108,95836,97655,85627,13.77
2016-07-22,97200,100833,96745,97655,214809,13.65
2016-07-25,98108,99470,97653,99472,132374,13.67
2016-07-26,99017,100833,98108,100834,158814,13.65
2016-07-27,101741,105375,101287,104468,543088,13.64
2016-07-28,107646,114913,107192,114460,1239899,14.1
2016-07-29,114459,115368,111734,114006,503422,14.13
2016-08-01,113097,115822,110372,115823,433846,14.16
2016-08-02,114459,117185,113551,115368,237993,14.2
2016-08-03,113551,116276,111734,115368,270041,14.2
2016-08-04,115368,117185,114913,114915,255442,14.22
2016-08-05,114913,121273,114913,121273,547678,14.3
2016-08-08,123089,126723,119001,119002,536875,14.31
2016-08-09,120818,123997,120364,122636,397107,14.4
2016-08-10,123997,126269,120364,120820,471335,14.41
2016-08-11,119910,123089,118547,123090,240332,14.44
2016-08-12,124906,126723,123089,126724,336474,14.42
2016-08-16,127178,128540,125361,125361,218400,14.41
2016-08-17,124452,126723,123997,126724,185996,14.47
2016-08-18,127631,127631,124906,125361,176957,14.49
2016-08-19,125814,127178,123997,126270,201316,14.49
2016-08-22,124906,125814,119456,123090,333580,14.54
2016-08-23,122635,124452,121273,123090,162662,14.47
2016-08-24,123089,123997,121273,122182,170679,14.52
2016-08-25,120818,123544,119910,122636,189057,14.68
2016-08-26,122181,122635,117185,117640,305364,14.71
2016-08-29,116276,119456,115368,119456,200272,14.83
2016-08-30,119456,121727,116730,118548,154316,14.78
2016-08-31,117639,124906,117639,124907,333691,14.79
2016-09-01,124452,124906,122635,124453,203291,14.75
2016-09-02,123997,124452,120364,123544,182351,14.7
2016-09-05,127178,128994,126269,128995,371542,14.82
2016-09-06,128994,130811,128085,128995,241518,14.89
2016-09-07,129448,130811,128994,129904,166546,14.87
2016-09-08,129902,130357,126269,127632,282680,14.89
2016-09-09,127631,129902,126269,128995,209836,14.91
2016-09-12,126269,126269,121273,121273,366884,14.77
2016-09-13,123544,124906,118093,120365,341311,14.74
2016-09-19,118093,123544,116276,123544,308846,14.67
2016-09-20,122181,123997,119456,120365,151551,14.64
2016-09-21,120818,121273,118547,120820,124358,14.52
2016-09-22,122635,124452,121727,123544,278543,14.54
2016-09-23,124906,125361,123089,125361,135112,14.53
2016-09-26,125361,126269,123089,123544,90298,14.51
2016-09-27,122635,126723,121727,126270,135175,14.54
2016-09-28,126269,126723,123089,123090,160167,14.53
2016-09-29,125361,128540,125361,127178,243967,14.65
2016-09-30,125361,126269,124452,125361,193006,14.62
2016-10-04,127631,128085,125361,127178,190094,14.64
2016-10-05,126723,127631,124906,127178,141158,14.62
2016-10-06,128085,133081,126269,132628,373680,14.71
2016-10-07,132628,137624,131265,135809,442271,14.75
2016-10-10,136262,138533,135807,137625,275352,14.79
2016-10-11,139895,140803,138533,138988,288781,14.9
2016-10-12,138078,139895,136716,138533,180187,14.9
2016-10-13,138533,138986,136262,137171,210264,14.96
2016-10-14,137169,138986,133536,133537,193727,14.97
2016-10-17,134899,137624,134445,134900,175880,15.0
2016-10-18,135353,138986,134899,138988,161543,15.01
2016-10-19,138986,140350,135353,135354,144800,14.97
2016-10-20,136716,138986,136262,138079,151896,14.97
2016-10-21,138533,138986,137169,138533,97061,14.97
2016-10-24,138533,141712,138533,141259,186399,15.02
2016-10-25,141712,142620,139895,141259,182278,15.0
2016-10-26,139441,139895,132628,134445,351600,14.92
2016-10-27,134899,137169,131265,135809,307844,14.95
